2minute	minute
fawk	fuck
isweaar	swear
spiderr	spider
francesco	francisco
bostonnn	boston
hanginn	hanging
sation	station
caner	cancer
scoll	scroll
advicee	advice
isaid	said
testtt	test
fitess	fitness
halfways	halfway
fundation	foundation
discribed	described
screaminq	screaming
replacer	replaced
stoneee	stone
muhfuckers	fuckers
screaminn	screaming
broght	brought
sendingg	sending
discribes	describes
weell	well
showw	show
niggerish	nigger
vibrational	vibration
touchdooown	touchdown
showcas	showcases
barrr	bar
rabbitmq	rabbit
lobve	love
normanby	norman
bitchies	bitches
weels	wheels
spoilerish	spoiler
ffor	for
pchristina	christina
bearfoot	barefoot
targe	target
reengineering	engineering
incisionless	incisions
shoutouut	shout
cookinn	cooking
shockk	shock
shockd	shocked
buuurn	burn
amazzing	amazing
oooppps	oops
dicovered	discovered
catalouge	catalog
slike	like
joels	joel
victoryyy	victory
iswear	swear
sayying	saying
batere	battery
bussyy	busy
spizike	spike
sayyinn	saying
wasington	washington
dayumm	damn
chiny	chin
backtoback	backpack
naww	no
nawt	not
headng	heading
sexua	sexual
shandling	handling
motorolla	motorola
chinn	chin
batery	battery
readdd	read
spotte	spotted
novaas	nova
spottt	spot
b'tween	between
kidn	kidding
readdy	ready
millimetres	millimeters
nellys	nelly
lasttt	last
justin'm	justin
eclipes	eclipse
stero	stereo
catchs	catches
musiq	music
sk8ter	skater
bullsss	bulls
catche	catch
escorpion	scorpions
catchh	catch
grahams	grams
catchn	catching
copss	cops
muchy	much
somehting	something
excl	excel
engg	eng
populari	popularity
couldn	could
listenin	listening
listenig	listening
saverrr	saver
oftn	often
simpel	simple
qranny	granny
ofte	often
misundastood	misunderstood
wana	wanna
rythmn	rhythm
niicee	nice
xtra	extra
wann	wanna
ungraceful	ungrateful
mariama	maria
diappointed	disappointed
purle	purple
lindsy	lindsay
coulde	could
rythms	rhythms
mcmuffin	muffin
screamings	screaming
damarcus	marcus
shameee	shame
exelent	excellent
keviin	kevin
becaause	because
brassard	bastard
bombbb	bomb
miin	min
waitinggg	waiting
wholewheat	wheat
revolucion	revolution
coulds	clouds
souce	source
unforgattable	unforgettable
miix	mix
stollen	stolen
miis	miss
waiittt	wait
fckers	fuckers
1milion	million
supposely	supposedly
underwire	underwear
truned	turned
finalis	final
everythngs	everything
comentem	comment
comenten	comment
welcomee	welcome
puling	pulling
assina	asia
welcomez	welcome
brotherrt	brother
apoligized	apologized
5seconds	seconds
brotherrr	brother
realyy	really
fiv	five
classrom	classroom
labratory	laboratory
againrt	again
pleeasee	please
cndy	candy
shooould	should
nictionary	dictionary
bulding	building
realyl	really
walet	wallet
gtting	getting
counsin	cousin
foolio	fool
tresspassing	trespassing
paaants	pants
collge	college
admitt	admit
ledgendary	legendary
sove	solve
offficially	officially
2avoid	avoid
fi9	fine
foregin	foreign
klinger	lingerie
trippled	tripled
apperal	apparel
cryinng	crying
baaacck	back
childen	children
cused	cursed
buttercupz	buttercup
distric	district
cincinnatti	cincinnati
3years	years
remidial	remedial
nastyy	nasty
cinem	cinema
nastys	nasty
enviroment	environment
noice	nice
nextera	extra
tennessean	tennessee
cementery	cemetery
detangling	dangling
djdesign	design
pumpking	pumpkin
correcto	correct
correctl	correctly
claaass	class
pumpkinn	pumpkin
magickal	magical
mattter	matter
caremel	caramel
t'would	would
finalllyyy	finally
tremblin	trembling
selff	self
farward	forward
piercinggg	piercing
bannanas	bananas
wunderful	wonderful
liies	lies
loook	look
amaazinggg	amazing
reintroduced	introduced
cherrry	cherry
femalesss	females
flamboyan	flamboyant
brezze	breeze
mermo	memo
looop	loop
compromisso	compromise
reintroduces	introduces
looot	lot
lknow	know
olds	old
oldr	older
goldberger	goldberg
mcclement	inclement
olde	old
oldd	old
sisis	sis
understan	understand
needem	need
hiya	hello
understad	understand
mafucker	fucker
sheee	she
loking	looking
worriess	worries
slingin	singing
internationalis	international
llegal	legal
loaddd	load
lail7een	aileen
ooopps	oops
shampooo	shampoo
feelinq	feeling
feelins	feelings
feelinn	feeling
pples	peoples
feelinf	feeling
deleteee	delete
longr	longer
plagarism	plagiarism
boootay	booty
hetrosexual	heterosexual
macine	machine
deamon	demon
distantl26	distantly
longg	long
longe	longer
foundational	foundation
credentialed	credentials
olvides	olives
finalsss	finals
moralizers	moralize
disappered	disappeared
affaire	affair
noly	only
memebers	members
witnes	witness
7o'clock	o'clock
prollem	problem
soemone	someone
headss	heads
funemployment	unemployment
aaannd	and
majo	major
thaan	than
horribleee	horrible
dorama	drama
4more	more
juiice	juice
ollow	follow
arrreee	are
awseome	awesome
un4rtun8ly	unfortunately
singel	single
majr	major
franklyn	frankly
sayinn	saying
laaag	lag
bittchhh	bitch
speciaaal	special
abouutt	about
descriptionif	description
downloand	download
pitful	pitiful
bullshitten	bullshit
shoppping	shopping
accually	actually
bullshitter	bullshit
houuse	house
noticeddd	noticed
24months	months
practiice	practice
neighb	neighbor
mmake	make
ardest	hardest
iate	ate
treeeat	treat
populair	popular
toungue	tongue
slidin	sliding
givess	gives
onight	tonight
cookinq	cooking
approch	approach
ouuuttt	out
alexxx	alex
messsy	messy
torando	tornado
iowaindependent	independence
potrait	portrait
camrea	camera
homeles	homeless
liffe	life
etip	tip
ooonly	only
palang	lang
anniversa	anniversary
smeels	smells
erybdy	everybody
insomina	insomnia
confunde	confused
smeell	smell
drovee	drove
lota	lot
awway	away
listeninggg	listening
natura	natural
ind0nesia	indonesia
extens	extension
backqround	background
ithat	that
warching	watching
unemploy	unemployed
creeepy	creepy
lookin	looking
tomarrow	tomorrow
creeeps	creep
