,sentence,is_greeting
0,It was a strange little outfit in the cottage.,0
1,Organisation is not a word you would associate with Dilly Knox.,0
2,"When I arrived, he said: ""Oh, hello, we're breaking machines, have you got a pencil?""",0
3,That was it.,0
4,I was never really told what to do.,0
5,"I think, looking back on it, that was a great precedent in my life, because he taught me to think that you could do things yourself without always checking up to see what the book said.",0
6,That was the way the cottage worked.,0
7,"We were looking at new traffic all the time or where the wheels or the wiring had been changed, or at other new techniques.",0
8,So you had to work it all out yourself from scratch.,0
9,"Why they had to say that (""Today's the day minus three."") I can't imagine.",0
10,"It seems rather daft, but they did.",0
11,So we worked for three days.,0
12,It was all the nail-biting stuff of keeping up all night working.,0
13,"One kept thinking: ""Well, would one be better at it if one had a little sleep or shall we just go on?""--and it did take nearly all of three days.",0
14,"Then a very, very large message came in.",0
15,"How many cruisers there were, and how many submarines were to be there and where they were to be at such and such a time, absolutely incredible that they should spell it all out.",0
16,He pretended he was just going to have the weekend off and made sure the Japanese spy would pass it all back.,0
17,"Then, under cover of the night, they went out and confronted the Italians.",0
18,It was very exciting stuff.,0
19,There was a great deal of jubilation in the cottage and then Cunningham himself came to visit us to congratulate us in person.,0
20,The cottage wall had just been whitewashed.,0
21,Now this just shows how silly and young and giggly we were.,0
22,We thought it would be jolly funny if we could talk to Admiral Cunningham and get him to lean against the wet whitewash and go away with a white stern.,0
23,He would ask new arrivals which way the hands of a clock went round.,0
24,Not if you're inside the clock.,0
25,"I picked up this message and thought: ""There is not a single L in this message.""",0
26,Good morning,1
27,"Good morning, Rosa",1
28,"Oh, hello, we're breaking machines, have you got a pencil?",1
29,Good Morn'n Rosa,1
30,Guten Morgen Rosa,1
31,"Guten Morgen, Hannes.",1
32,good morning,1
33,Good morning Rosa!,1
34,morning,1
35,"Good morning, Mavis.",1
36,Hello Margaret.,1
37,"Top o' the morning to you, Knox",1
38,"The top of the morning to you, Miss Grace",1
39,hello,1
40,Hello,1
41,Hi,1
