"text","power","sensitivity","passive-agressive","sarcastic","macho","bullying"
"I’m sorry.",-1,0,0,0,-1,-1
"I apologize.",1,1,0,0,0.1,-1
"I apologize for arriving so late.",1,1,0,0,-1,-1
"I’m sorry that I arrived so late.",-1,0,0,0,-1,0
"I apologize for forgetting your birthday.",1,1,0,0,0.1,0
"I’m sorry I forgot your birthday.",-1,0,0,0,0,0
"I apologize for being rude to you in front of your friends.",1,1,0,0,0,0
"I’m sorry I was rude to you in front of your friends.",-1,0,0,0,0,0
"I was wrong, and I apologize.",1,1,0,0,0,0
"You know, <NNP>, I want you to know I was wrong, and I apologize.",1,1,0,0,0,0
"It won’t happen again.",1,1,0,0,0,0
"I’m really sorry you’re going through all of this, can I help?",1,1,0,0,0,0
"How can I help?",1,1,0,0,0,0
"I’m sorry buddy, but you’ll have to …",-1,-1,0,0,0,0
"I’m really sorry.",-1,0,0,0,0,0
"I apologize if I offended you.",-1,-1,0,0,0,0
"I apologize for …",1,1,0,0,0,0
"I’m sorry buddy, but you have to …",-1,-1,0,0,0,0
"I’m sorry buddy, but you …",-1,-1,0,0,0,0
"I’m sorry buddy, but …",-1,-1,0,0,0,0
"Buddy …",-0.5,-0.5,0,0,1,1
"Bro …",-0.5,-0.5,0,0,1,1
"… bro …",-0.5,-0.5,0,0,1,1
"I apologize for being rude to you …",1,1,0,0,0,0
"I apologize for being … to you.",1,1,0,0,0,0
"I apologize for … you.",1,1,0,0,0,0
"Calm down.",-1,-1,0,0,0,0
"I understand …",1,1,0,0,0,0
"I understand.",1,1,0,0,0,0
"I hear you.",0.9,0.9,0,0,0,0
"You should …",-0.9,-0.9,0,0,0,0
"You should calm down.",-1,-1,0,0,0,1
"You have to calm down.",-1,-1,0,0,0,0
"Now calm down, Jane.",-1,-1,0,0,0,0
"Now calm down, Jon.",-1,-1,0,0,0,0
"Now calm down, <NNP>.",-1,-1,0,0,0,0
"I’m really grateful for …",1,1,0,0,0,0
"Thank you for …",1,1,0,0,0,0
"You are acting way out of control.",-1,-1,0,0,0,0
"You are out of control.",-0.9,-0.9,0,0,0,0
"You’ll never get what you want by …",-0.8,-0.8,0,0,0,0
